name,npts,solution,resíduo algébrico,resíduo geométrico,gradiente algébrico,gradiente geométrico
sphere2D_-44.5_-39.9_34.0_0.csv,469,"[-44.50593376372489, -39.74924829164374, 34.09219841461561]",2.0479552728787113e6,361.5807953375603,[1.6852754924912006e-7 1.7419677078578388e-7 120142.16554620332],[5.28500856491559 0.5055597425760451 38.762831812044816]
sphere2D_-44.5_50.4_75.0_0.csv,528,"[-44.56323950582086, 50.43676228532405, 74.97988336373484]",1.2183607932353912e7,422.1786063849856,[1.4730903785675764e-7 1.1574257996471715e-6 324983.3791609424],[1.1109851091896203 -1.7938136464377705 21.68024271649884]
sphere2D_-45.1_84.8_82.0_0.csv,801,"[-45.05640962603279, 84.85623795080153, 82.09287072706192]",2.1052795557318572e7,634.0544625916992,[-9.366704034619033e-7 -4.259978055642932e-6 512901.9212237264],[-1.2053473026748849 -1.3440121612989078 28.540178552264223]
sphere2D_-45.4_-97.3_136.0_0.csv,347,"[-45.34340510923974, -97.07850392249873, 136.05558552117398]",2.2181444392309356e7,261.89620512210695,[1.203734427690506e-6 -4.6427846882579615e-6 326064.44354815385],[0.2555061108748251 -0.5162741859701164 6.605404669314737]
sphere2D_-47.1_-91.6_54.0_0.csv,698,"[-47.09653833374881, -91.56574119854933, 54.021741617135234]",7.678742797316618e6,553.1685938953635,[-4.1192151911673136e-7 3.2264412652693863e-6 284283.4224751795],[4.732105155640686 -0.029903227445615667 36.54581250820527]
sphere2D_-48.2_32.9_25.0_0.csv,362,"[-48.27010250299255, 32.95728606469074, 25.011214573664034]",776544.7864449411,274.9587109503012,[1.6084868548205122e-8 1.6818336234791786e-7 62095.72783061796],[0.888285225798243 6.792344580671166 37.32325116119843]
sphere2D_-48.7_-83.8_5.0_0.csv,745,"[-48.762256745694806, -83.75205030809488, 5.381098716547929]",84058.49012454548,626.5822507480917,[5.75891107246207e-7 1.764043432217477e-6 31242.129030953147],[-34.35148566694811 22.43299225630348 421.7827667677889]
sphere2D_-49.8_-24.2_119.0_0.csv,177,"[-49.83353028922006, -24.11895334002984, 119.043840775566]",9.382505848495238e6,138.93004072501202,[5.080801201984286e-7 2.9903699072519885e-8 157631.1010695551],[-0.23868019236902915 -0.7699268133867749 4.1716579277716335]
sphere2D_-52.1_-95.1_18.0_0.csv,870,"[-52.10739518284407, -95.08992927599054, 18.068304953728305]",1.1373022586356166e6,696.3930027962509,[-3.550405835994752e-7 -1.910035194896409e-6 125889.20339312112],[-0.128115687742973 17.866320510916623 145.22629903486273]
sphere2D_-52.5_37.8_129.0_0.csv,733,"[-52.50495819239389, 37.8102947012697, 129.05408843868958]",4.785085231158989e7,580.890030540008,[-5.00725582242012e-6 1.54822214426531e-6 741562.7492367596],[0.9908472180241477 -0.7204081134090008 16.69691831204156]
sphere2D_-53.6_-7.2_95.0_0.csv,507,"[-53.525652744238315, -7.250933763786771, 94.96901475420535]",1.6952477462811e7,388.1956370544378,[-4.4274202082306147e-7 -1.2098636830160103e-6 357010.7051563789],[-1.4017176546717345 1.1282551292788747 14.842125745092659]
sphere2D_-53.8_98.7_43.0_0.csv,120,"[-53.77229096453242, 98.76745750530621, 43.01233240957679]",751595.1648730241,88.24071129507165,[-2.042042979155667e-7 5.614743940896005e-7 34947.89158164871],[0.2255872962390808 -1.8191365452745212 7.090963049746762]
sphere2D_-54.4_-14.3_95.0_0.csv,377,"[-54.43734213833577, -14.39501120508888, 95.14688453868882]",1.1855756311166042e7,272.99391494165843,[-7.026974344626069e-7 -5.662964213115629e-7 249209.5536014322],[-2.332618771247543 -0.07594861919950516 10.318806196052435]
sphere2D_-55.4_-77.3_61.0_0.csv,269,"[-55.50053880533289, -77.26221179005421, 61.05156932832067]",3.9657236760541163e6,213.8068448125701,[1.0687290341593325e-7 1.2718102198050474e-6 129913.89802917524],[-1.4178024839406178 0.7963609563737856 13.07696699353238]
