cga,lm
0.0168971,0.02134735
0.1108151,0.02134735
0.157263,0.02134735
0.0140953,0.02134735
0.03273625,0.02134735
0.0373975,0.02134735
0.0111158,0.02134735
0.1695448,0.02134735
0.18441575,0.02134735
0.0586125,0.02134735
0.13152705,0.02134735
0.002094,0.02134735
0.00394555,0.02134735
0.13958955,0.02134735
0.0875546,0.02134735
0.1611706,0.02134735
0.1245664,0.02134735
0.003684,0.02134735
0.14898135,0.02134735
0.0768339,0.02134735
0.0171624,0.02134735
0.0264978,0.02134735
0.0124243,0.02134735
0.07326615,0.02134735
0.0438374,0.02134735
0.05853595,0.02134735
0.0690192,0.02134735
0.0056931,0.02134735
0.15001135,0.02134735
0.02298345,0.02134735
0.0391302,0.02134735
0.147342,0.02134735
0.1134242,0.02134735
0.08028425,0.02134735
0.0450764,0.02134735
0.0251187,0.02134735
0.0310473,0.02134735
0.0579103,0.02134735
0.0816097,0.02134735
0.0268559,0.02134735
0.0744928,0.02134735
0.0047349,0.02134735
0.0077889,0.02134735
0.05960605,0.02134735
0.01367355,0.02134735
0.0018376,0.02134735
0.1313588,0.02134735
0.0405046,0.02134735
0.1031942,0.02134735
0.1260268,0.02134735
0.0741113,0.02134735
0.0333827,0.02134735
0.02845905,0.02134735
0.02917015,0.02134735
0.003071,0.02134735
0.0012519,0.02134735
0.03058675,0.02134735
0.09242305,0.02134735
0.074439,0.02134735
0.03295795,0.02134735
0.0018759,0.02134735
0.0321875,0.02134735
0.00287115,0.02134735
0.0376901,0.02134735
0.1087577,0.02134735
0.02903675,0.02134735
0.003606,0.02134735
0.0312057,0.02134735
0.1205451,0.02134735
0.01851395,0.02134735
0.0125063,0.02134735
0.0004931,0.02134735
0.00537,0.02134735
0.02534565,0.02134735
0.0481566,0.02134735
0.0631533,0.02134735
0.1447799,0.02134735
0.0919171,0.02134735
0.0378953,0.02134735
0.00366,0.02134735
0.04178805,0.02134735
0.13455755,0.02134735
0.0327618,0.02134735
0.1502776,0.02134735
0.0890076,0.02134735
0.0108613,0.02134735
0.0465152,0.02134735
0.1414084,0.02134735
0.0337928,0.02134735
0.02478295,0.02134735
0.0246521,0.02134735
0.0126229,0.02134735
0.15768795,0.02134735
0.0689328,0.02134735
0.0142363,0.02134735
0.0017218,0.02134735
0.0252539,0.02134735
0.12058955,0.02134735
0.14228225,0.02134735
0.0254766,0.02134735
0.0082728,0.02134735
0.05243545,0.02134735
