1,npts,nout,solution,value obtained,internal it,external it,ndif,time
sphere3D_80.2_55.7_53.1_111.0_3.csv,12,3,"[80.2, 55.7, 53.1, 111.0]","[83.97504809639585, 65.36308765176769, 52.45062014966084, -108.41548784109021]",34,4,16.67202775741248,7.67e-5
sphere3D_82.1_6.0_101.2_5.0_9.csv,30,9,"[82.1, 6.0, 101.2, 5.0]","[82.10000000233171, 5.999999989278498, 101.20000000716671, -5.000000001471469]",28,5,2.1691392682043897e-8,9.35e-5
sphere3D_83.0_-80.9_66.5_121.0_13.csv,45,13,"[83.0, -80.9, 66.5, 121.0]","[83.0, -80.9, 66.5, -121.0]",61,5,0.0,0.0002047
sphere3D_83.6_59.5_97.7_42.0_15.csv,50,15,"[83.6, 59.5, 97.7, 42.0]","[83.59999999999953, 59.49999999999928, 97.70000000000051, -41.999999999999844]",70,6,1.8545165403338615e-12,0.0002543
sphere3D_90.2_-82.1_-26.7_44.0_10.csv,34,10,"[90.2, -82.1, -26.7, 44.0]","[90.19999999999989, -82.09999999999984, -26.7000000000001, -44.00000000000011]",39,5,4.760636329592671e-13,0.00012785
sphere3D_90.7_110.5_-106.6_57.0_13.csv,45,13,"[90.7, 110.5, -106.6, 57.0]","[90.70000000000003, 110.5, -106.59999999999998, -57.00000000000013]",40,5,1.7053025658242404e-13,0.00014305
sphere3D_91.2_-58.5_-41.6_15.0_15.csv,50,15,"[91.2, -58.5, -41.6, 15.0]","[91.20000000000158, -58.49999999998954, -41.600000000006226, -15.00000000000061]",40,6,1.887023870494886e-11,0.00016355
sphere3D_92.0_-40.6_61.5_127.0_12.csv,41,12,"[92.0, -40.6, 61.5, 127.0]","[92.0, -40.600000000000016, 61.500000000000014, 127.0]",65,6,2.842170943040401e-14,0.000224
sphere3D_92.8_-99.2_21.8_40.0_5.csv,18,5,"[92.8, -99.2, 21.8, 40.0]","[92.79999999999956, -99.19999999999858, 21.799999999999248, -40.00000000000124]",38,5,3.858247055177344e-12,9.56e-5
sphere3D_95.5_21.3_43.4_50.0_5.csv,18,5,"[95.5, 21.3, 43.4, 50.0]","[90.17129245014024, 25.220768501657645, 42.56175475639674, -45.972317091823435]",34,4,14.115404203297228,8.46e-5
sphere3D_96.6_-76.2_2.7_118.0_8.csv,28,8,"[96.6, -76.2, 2.7, 118.0]","[96.60000000000036, -76.19999999999992, 2.699999999999951, -118.00000000000045]",45,5,9.587886040662852e-13,0.0001336
